spot_index,x,y,pixel_x,pixel_y,dist_1,dist_2,dist_3,dist_4,dist_5,mean_5nn
0,22,12,4550.31,2394.07,221.92747126031972,227.5264775800826,266.63998068556776,310.18739642351716,354.7278304559703,276.2018312810915
1,21,12,4328.43,2398.66,171.688918978483,221.92747126031972,224.71352785268635,274.08468326413316,309.58652312398874,240.4002248959222
2,16,12,3259.47,2404.35,227.2758167953646,306.74292298274804,312.48476442860357,441.324648076674,466.2953854586167,350.82470754840136
3,20,12,4156.75,2400.41,171.688918978483,217.25457440523556,249.6470326280685,288.98846084229723,344.5408219645391,254.42396176372466
4,26,12,5436.72,2403.69,216.06925024167597,223.57844372837016,310.919573684257,442.8219376905351,466.0777730164786,331.8933956722634
5,19,12,3907.28,2409.81,216.5529849713462,249.6470326280685,310.61684596943564,329.8539473767137,421.29757298137866,305.59367678538854
6,25,12,5220.72,2409.16,216.06925024167597,220.8780025262816,293.4856807409863,315.122750051468,405.5094816400721,290.21303304009683
7,12,12,2404.13,2418.12,199.66300658860146,221.1058592620285,312.31564962390206,320.877657215332,450.0609260977895,300.8046197575307
8,23,12,4815.43,2422.5,217.78992171356316,266.63998068556776,301.3542123481931,337.0824031301543,405.5094816400721,305.67519990351013
9,13,12,2603.62,2426.43,199.66300658860146,210.90918804073,284.62022415843865,289.4813931844329,427.36934529748396,282.40863145393735
10,11,13,2148.35,2611.87,224.93503150910024,231.8367893583762,267.36898567335766,320.877657215332,321.1948911486608,273.2426709809654
11,22,13,4543.35,2621.49,202.3257850596415,216.7836400653887,227.5264775800826,263.1773897963117,307.58847572690433,243.48035364566576
12,20,13,4163.49,2617.56,177.62393757599224,217.25457440523556,225.73036415156918,267.2161808349187,274.08468326413316,232.38194804636979
13,9,13,1749.58,2622.59,174.07055609723332,220.1068127069217,283.7818616472872,321.4546955637761,398.91406505662343,279.66559821436834
14,10,13,1923.65,2622.15,174.07055609723332,222.19079751420855,224.93503150910024,285.3722525053897,312.60555865179344,243.83483925554506
15,17,13,3476.35,2621.27,201.21863954415338,208.46611835020107,222.98708684585304,301.6666945488017,306.74292298274804,248.21629245435142
16,21,13,4341.03,2623.02,177.62393757599224,202.3257850596415,220.2688504986579,224.71352785268635,286.1706863045196,222.22055745829954
17,19,13,3896.41,2626.09,211.66043678495973,216.5529849713462,228.701208129734,267.2161808349187,306.391401478566,246.10444243990491
18,18,13,3684.75,2626.52,208.46611835020107,211.66043678495973,221.52043698042849,293.26588345731585,310.61684596943564,249.10594430846814
19,26,13,5448.46,2626.96,219.79760553745822,223.57844372837016,224.94081443793172,308.4399987031515,315.122750051468,258.3759224916759
20,15,13,3041.51,2628.27,212.1153613013444,222.39294795474063,231.8850475990206,312.48476442860357,318.4647939725833,259.46858305125846
21,14,13,2809.63,2629.8,181.7733913420774,223.776132999031,231.8850475990206,285.08201293662825,289.4813931844329,242.399595612238
22,16,13,3253.6,2631.55,212.1153613013444,214.88489127902864,222.98708684585304,227.2758167953646,285.70131011250163,232.59289326681846
23,25,13,5223.54,2630.02,192.56431445104252,215.0656392825223,220.8780025262816,224.94081443793172,296.4550562901565,229.98076539758694
24,24,13,5031.0,2633.08,192.56431445104252,219.36760471865497,225.2387997215401,290.88507765095125,293.4856807409863,244.308295456635
25,12,13,2414.34,2638.99,213.64191536306717,221.1058592620285,229.2451652707207,267.36898567335766,284.62022415843865,243.1964299455225
